distance_m,snr_db,noise_free_bias_m,mean_estimate_m,std_m,rmse_m
0.100,-10,0.000042,0.229424,0.896439,0.904846
0.100,0,0.000042,0.099870,0.013721,0.013708
0.100,10,0.000042,0.100042,0.000000,0.000042
0.100,20,0.000042,0.100042,0.000000,0.000042
0.100,30,0.000042,0.100042,0.000000,0.000042
0.300,-10,0.000125,0.392849,0.809484,0.813987
0.300,0,0.000125,0.300297,0.013235,0.013225
0.300,10,0.000125,0.300125,0.000000,0.000125
0.300,20,0.000125,0.300125,0.000000,0.000125
0.300,30,0.000125,0.300125,0.000000,0.000125
0.500,-10,0.000208,0.609068,0.790036,0.796746
0.500,0,0.000208,0.500608,0.012596,0.012598
0.500,10,0.000208,0.500208,0.000000,0.000208
0.500,20,0.000208,0.500208,0.000000,0.000208
0.500,30,0.000208,0.500208,0.000000,0.000208
0.800,-10,0.000333,0.901733,0.673557,0.680530
0.800,0,0.000333,0.800733,0.013835,0.013840
0.800,10,0.000333,0.800333,0.000000,0.000333
0.800,20,0.000333,0.800333,0.000000,0.000333
0.800,30,0.000333,0.800333,0.000000,0.000333
1.000,-10,0.000417,1.100473,0.734256,0.740370
1.000,0,0.000417,1.001274,0.013084,0.013132
1.000,10,0.000417,1.000417,0.000000,0.000417
1.000,20,0.000417,1.000417,0.000000,0.000417
1.000,30,0.000417,1.000417,0.000000,0.000417
1.500,-10,0.000625,1.582616,0.732062,0.735981
1.500,0,0.000625,1.500282,0.013777,0.013766
1.500,10,0.000625,1.500625,0.000000,0.000625
1.500,20,0.000625,1.500625,0.000000,0.000625
1.500,30,0.000625,1.500625,0.000000,0.000625
